term,lev,time,estimate,r.squared,adj.r.squared
full,700,2019-05-01T00:00:00Z,0.634257131881235,0.0373214289103038,0.0370907919742497
sym,700,2019-05-01T00:00:00Z,0.574360238386541,0.0379427462393344,0.0377122581574559
asym,700,2019-05-01T00:00:00Z,0.059896893494693,0.00172114896210263,0.00148198296999968
full,50,2019-05-01T00:00:00Z,0.386918694842358,0.0587860645350502,0.0585605700608133
sym,50,2019-05-01T00:00:00Z,0.655425034683106,0.204015440404782,0.203824739743642
asym,50,2019-05-01T00:00:00Z,-0.268506339840765,0.163485685841097,0.163285275128553
full,700,2019-05-02T00:00:00Z,0.573927410321679,0.0238191991558075,0.023585327377934
sym,700,2019-05-02T00:00:00Z,0.504291729145567,0.0227986638626589,0.0225645475866317
asym,700,2019-05-02T00:00:00Z,0.0696356811761111,0.00181325630439488,0.00157411237921634
full,50,2019-05-02T00:00:00Z,0.416124345258806,0.062030436361831,0.0618057191688176
sym,50,2019-05-02T00:00:00Z,0.759632473061925,0.250004402907368,0.249824720205621
asym,50,2019-05-02T00:00:00Z,-0.34350812780314,0.244100296652924,0.243919199455189
full,700,2019-05-03T00:00:00Z,0.316765248332458,0.00598798116358501,0.00574983741206692
sym,700,2019-05-03T00:00:00Z,0.29191675405597,0.00630457609365476,0.00606650819142518
asym,700,2019-05-03T00:00:00Z,0.0248484942764872,0.000190540735717781,-4.89919569666153e-05
full,50,2019-05-03T00:00:00Z,0.604932191169799,0.115629494757312,0.115417618737848
sym,50,2019-05-03T00:00:00Z,0.769401980614845,0.226226701351001,0.226041322026936
asym,50,2019-05-03T00:00:00Z,-0.164469789445068,0.0493586411300417,0.049130888049335
full,700,2019-05-04T00:00:00Z,0.454790488786898,0.0135678521251335,0.0133315243465338
sym,700,2019-05-04T00:00:00Z,0.32134592712316,0.00839781758784963,0.00816025118094688
asym,700,2019-05-04T00:00:00Z,0.133444561663737,0.0060404936355335,0.00580236246486643
full,50,2019-05-04T00:00:00Z,0.69651963474571,0.17000819709002,0.169809349029907
sym,50,2019-05-04T00:00:00Z,0.618778648288492,0.162276562816624,0.16207586242439
asym,50,2019-05-04T00:00:00Z,0.077740986457199,0.012230350814731,0.0119937025997849
full,700,2019-05-05T00:00:00Z,0.759324543455506,0.0477782207483809,0.0475500890331793
sym,700,2019-05-05T00:00:00Z,0.49183412276037,0.0248510585388265,0.0246174339721132
asym,700,2019-05-05T00:00:00Z,0.267490420695137,0.0306601222729901,0.0304278894321355
full,50,2019-05-05T00:00:00Z,0.586305987487925,0.11319247277365,0.1129800128965
sym,50,2019-05-05T00:00:00Z,0.51032004236559,0.103713709107743,0.103498978324108
asym,50,2019-05-05T00:00:00Z,0.0759859451223219,0.0109792105551789,0.0107422625941236
full,700,2019-05-06T00:00:00Z,0.943377659548266,0.0793591337660612,0.0791385681536428
sym,700,2019-05-06T00:00:00Z,0.484878796225295,0.0259910971357472,0.0257577456975909
asym,700,2019-05-06T00:00:00Z,0.458498863322971,0.0969358869294254,0.0967195323263899
full,50,2019-05-06T00:00:00Z,0.355800700037566,0.0263216352923233,0.0260883630439506
sym,50,2019-05-06T00:00:00Z,0.343259508494928,0.0296296451550397,0.0293971654341856
asym,50,2019-05-06T00:00:00Z,0.0125411915426296,0.000188848073341741,-5.06850248678248e-05
full,700,2019-05-07T00:00:00Z,1.01516682110825,0.0816177562244452,0.081397731729051
sym,700,2019-05-07T00:00:00Z,0.436485700623788,0.0187060609468522,0.0184709641718036
asym,700,2019-05-07T00:00:00Z,0.578681120484464,0.137142090723105,0.136935368655717
full,50,2019-05-07T00:00:00Z,0.158515030966776,0.0029268485488595,0.00268797141626453
sym,50,2019-05-07T00:00:00Z,0.128307661486267,0.00231924461431021,0.00208022191297208
asym,50,2019-05-07T00:00:00Z,0.0302073694805046,0.000613791474127878,0.000374360183153732
full,700,2019-05-08T00:00:00Z,0.883537388944976,0.0646196178761088,0.06439552099491
sym,700,2019-05-08T00:00:00Z,0.378100149474709,0.0146710332547795,0.0144349697744859
asym,700,2019-05-08T00:00:00Z,0.505437239470269,0.109353153472551,0.109139773777648
full,50,2019-05-08T00:00:00Z,0.0106238968822496,1.00763355355138e-05,-0.000229499592510507
sym,50,2019-05-08T00:00:00Z,-0.0408611116748759,0.000180275749672498,-5.92594022801318e-05
asym,50,2019-05-08T00:00:00Z,0.0514850085571259,0.00136657097276405,0.00112732003145433
full,700,2019-05-09T00:00:00Z,1.33674327735942,0.181651890060459,0.181455831577004
sym,700,2019-05-09T00:00:00Z,0.852852759222132,0.0916694243418672,0.0914518080084561
asym,700,2019-05-09T00:00:00Z,0.483890518137295,0.123089340744995,0.122879251943066
full,50,2019-05-09T00:00:00Z,0.148730278788091,0.00218779021770266,0.00194873602273804
sym,50,2019-05-09T00:00:00Z,0.0935425999625016,0.00104666521848806,0.000807337634688099
asym,50,2019-05-09T00:00:00Z,0.0551876788255861,0.00173950961737945,0.00150034802409194
full,700,2019-05-10T00:00:00Z,2.1653385905925,0.419340434023235,0.419201320567083
sym,700,2019-05-10T00:00:00Z,1.47898389521364,0.242535034063349,0.242353561862597
asym,700,2019-05-10T00:00:00Z,0.686354695378862,0.217868600770892,0.217681219026946
full,50,2019-05-10T00:00:00Z,0.435858776496377,0.0203089011948802,0.0200741884256408
sym,50,2019-05-10T00:00:00Z,0.513033187354616,0.0340304570980544,0.0337990317164296
asym,50,2019-05-10T00:00:00Z,-0.0771744108582551,0.00367686062008266,0.00343816317413626
full,700,2019-05-11T00:00:00Z,2.34730616017873,0.445121121110862,0.444988184148982
sym,700,2019-05-11T00:00:00Z,1.75712876827043,0.309227697186681,0.309062203103592
asym,700,2019-05-11T00:00:00Z,0.590177391908309,0.145507768503732,0.145303050671558
full,50,2019-05-11T00:00:00Z,0.485450962286466,0.0249104927270196,0.0246768823994507
sym,50,2019-05-11T00:00:00Z,0.836188019511514,0.0893884679862045,0.0891703051850511
asym,50,2019-05-11T00:00:00Z,-0.350737057225069,0.0750914652386868,0.074869877185318
full,700,2019-05-12T00:00:00Z,2.12773622207979,0.358148156777339,0.357994382976854
sym,700,2019-05-12T00:00:00Z,1.62482060325103,0.258922900857028,0.258745354834234
asym,700,2019-05-12T00:00:00Z,0.502915618828773,0.103466488765833,0.103251698753559
full,50,2019-05-12T00:00:00Z,0.53181582169473,0.0333745408446708,0.0331429583197175
sym,50,2019-05-12T00:00:00Z,0.926215099410709,0.122433011689357,0.122222765645201
asym,50,2019-05-12T00:00:00Z,-0.394399277716003,0.105998739286983,0.10578455594709
full,700,2019-05-13T00:00:00Z,1.65232758054083,0.25399513214322,0.253816405533768
sym,700,2019-05-13T00:00:00Z,1.34128753793783,0.207495819327082,0.207305952489355
asym,700,2019-05-13T00:00:00Z,0.311040042603001,0.046542318328426,0.0463138905177717
full,50,2019-05-13T00:00:00Z,0.693902070152601,0.0801448018956984,0.0799244245123481
sym,50,2019-05-13T00:00:00Z,0.900533837448385,0.163252970544256,0.163052504078167
asym,50,2019-05-13T00:00:00Z,-0.206631767295809,0.0410401424503248,0.0408103964374955
full,700,2019-05-14T00:00:00Z,1.26677234692369,0.162741695349114,0.162541106392561
sym,700,2019-05-14T00:00:00Z,1.17815856408202,0.174518575305579,0.174320807834401
asym,700,2019-05-14T00:00:00Z,0.0886137828416801,0.00411800204583257,0.00387941028781769
full,50,2019-05-14T00:00:00Z,0.72960288934211,0.132720172825411,0.132512391362264
sym,50,2019-05-14T00:00:00Z,0.795665466244461,0.190900424098141,0.190706581363138
asym,50,2019-05-14T00:00:00Z,-0.066062576902374,0.0062836292738464,0.00604555635321247
full,700,2019-05-15T00:00:00Z,1.1995247943997,0.136732896650152,0.136526076548726
sym,700,2019-05-15T00:00:00Z,1.16306802217857,0.15936658587775,0.159165188318066
asym,700,2019-05-15T00:00:00Z,0.036456772221126,0.00065312048105759,0.000413698612461877
full,50,2019-05-15T00:00:00Z,0.73656137519698,0.187645909474896,0.187451287028675
sym,50,2019-05-15T00:00:00Z,0.764116483887341,0.244243145108803,0.244062082134463
asym,50,2019-05-15T00:00:00Z,-0.0275551086903821,0.00151656546543055,0.00127735045955246
full,700,2019-05-16T00:00:00Z,0.826082667678281,0.0762976518213918,0.0760763527442048
sym,700,2019-05-16T00:00:00Z,0.905799713158959,0.113726321510049,0.113513989531494
asym,700,2019-05-16T00:00:00Z,-0.0797170454806781,0.00367408210991727,0.00343538399830001
full,50,2019-05-16T00:00:00Z,0.596672074052899,0.174018618783298,0.173820731533366
sym,50,2019-05-16T00:00:00Z,0.651623586204965,0.251015136841607,0.25083569628982
asym,50,2019-05-16T00:00:00Z,-0.0549515121520844,0.0085235256890176,0.00828598939905334
full,700,2019-05-17T00:00:00Z,0.838889735994408,0.0880035933236371,0.0877850987365081
sym,700,2019-05-17T00:00:00Z,0.929546168837545,0.133956890291769,0.133749405119342
asym,700,2019-05-17T00:00:00Z,-0.0906564328431329,0.0053145954871171,0.00507629040697499
full,50,2019-05-17T00:00:00Z,0.581123879218537,0.198174966709217,0.197982866797072
sym,50,2019-05-17T00:00:00Z,0.586605239019686,0.244222263704507,0.244041195727436
asym,50,2019-05-17T00:00:00Z,-0.00548135980116505,0.000101817787926062,-0.000137736160854995
full,700,2019-05-18T00:00:00Z,0.676528297312214,0.0507846255098506,0.0505572140641175
sym,700,2019-05-18T00:00:00Z,0.965570704791834,0.128251060649948,0.128042208484316
asym,700,2019-05-18T00:00:00Z,-0.28904240747962,0.047936439157435,0.0477083453479374
full,50,2019-05-18T00:00:00Z,0.658065839415347,0.222033871769013,0.221847487933787
sym,50,2019-05-18T00:00:00Z,0.561457349385992,0.195477198979494,0.195284452740629
asym,50,2019-05-18T00:00:00Z,0.096608490029337,0.0276341946593264,0.0274012368717507
full,700,2019-05-19T00:00:00Z,0.329824268370558,0.0115322703830576,0.0112954549231589
sym,700,2019-05-19T00:00:00Z,0.845503946551914,0.0939535861760548,0.0937365170783491
asym,700,2019-05-19T00:00:00Z,-0.515679678181356,0.145777988257269,0.145573335163895
full,50,2019-05-19T00:00:00Z,0.863831850364221,0.275180127766977,0.275006476623653
sym,50,2019-05-19T00:00:00Z,0.550126738237394,0.134978990806681,0.134771750507401
asym,50,2019-05-19T00:00:00Z,0.313705112126809,0.209574056634873,0.209384687697795
full,700,2019-05-20T00:00:00Z,-0.273928419207199,0.00802449286286033,0.00778683701543892
sym,700,2019-05-20T00:00:00Z,0.308930423105196,0.012653109129685,0.012416562198475
asym,700,2019-05-20T00:00:00Z,-0.582858842312396,0.187867868905676,0.187673299636128
full,50,2019-05-20T00:00:00Z,1.07492248615556,0.257312619820248,0.257134688008993
sym,50,2019-05-20T00:00:00Z,0.479489009633006,0.0619221649538512,0.0616974218213533
asym,50,2019-05-20T00:00:00Z,0.595433476522537,0.455941341127965,0.455810996456458
full,700,2019-05-21T00:00:00Z,-0.484661002346943,0.0258073279005501,0.0255739324352651
sym,700,2019-05-21T00:00:00Z,-0.156923132670126,0.00335407916664465,0.00311530438925278
asym,700,2019-05-21T00:00:00Z,-0.327737869676817,0.0610242510567162,0.0607992928034955
full,50,2019-05-21T00:00:00Z,1.03168305931162,0.176334287077984,0.176136954612023
sym,50,2019-05-21T00:00:00Z,0.309256177187365,0.0191629762305034,0.0189279889224609
asym,50,2019-05-21T00:00:00Z,0.722426882124244,0.499306994189236,0.499187038988994
full,700,2019-05-22T00:00:00Z,-0.414863454455854,0.0181011321989061,0.0178658904960309
sym,700,2019-05-22T00:00:00Z,-0.265242022088091,0.0091730238903871,0.00893564320612494
asym,700,2019-05-22T00:00:00Z,-0.149621432367764,0.0121748975500617,0.0119382360497144
full,50,2019-05-22T00:00:00Z,0.827889908689422,0.11020968304188,0.109996508552911
sym,50,2019-05-22T00:00:00Z,0.2146988924783,0.0089642964599197,0.0087268657690861
asym,50,2019-05-22T00:00:00Z,0.61319101621111,0.349141785162084,0.348985853630019
full,700,2019-05-23T00:00:00Z,-0.460764035852503,0.0219463915333767,0.0217120710713579
sym,700,2019-05-23T00:00:00Z,-0.380187138532015,0.0185239372093761,0.0182887968014244
asym,700,2019-05-23T00:00:00Z,-0.0805768973204892,0.00347063845384998,0.00323189160153903
